ID,Age_Years,Gender,Marital_Status,Education,Employment,Account_Tenure_Months,Account_Balance,Transaction_Frequency,Product_Count,Number_of_Complaints,Satisfaction_Rate,Support_Calls,Email_Subscription,Has_Credit_Card,Churn_Status,Customer_Value_Score,Engagement_Level,Risk_Profile
CUST1180,40,Male,Married,,Employed,153,1065053,17,1,0,0.84,0,0,1,0,0.659,Low,Low_Risk
CUST1160,56,Female,Married,Secondary,Self-employed,177,1004198,14,1,0,0.52,1,1,0,0,0.653,Low,Low_Risk
CUST2521,27,Male,Married,Secondary,Employed,176,854269,17,2,0,0.74,0,0,0,0,0.646,Medium,Low_Risk
CUST0591,31,Male,Divorced,,Employed,141,822473,23,3,0,0.55,0,1,0,0,0.642,High,Low_Risk
CUST2014,28,Female,Divorced,Primary,Employed,161,928128,17,3,0,0.84,1,1,0,0,0.639,Medium,Low_Risk
CUST0067,32,Male,Single,University,Employed,173,647444,21,3,0,0.82,0,1,0,0,0.632,Medium,Low_Risk
CUST2474,43,Male,Single,Primary,Employed,124,765533,26,2,0,0.97,0,1,0,0,0.63,Medium,Low_Risk
CUST0765,33,Male,Single,Primary,Employed,173,498381,24,3,0,0.89,1,0,0,0,0.627,High,Low_Risk
CUST2641,34,Female,Divorced,Secondary,Self-employed,165,1018702,12,1,0,0.81,0,0,0,0,0.616,Low,Low_Risk
CUST2304,22,Female,Married,Primary,Self-employed,180,694826,17,3,0,0.89,1,1,1,0,0.614,Medium,Low_Risk
CUST1437,32,Female,Married,Secondary,Employed,171,540044,22,1,0,0.75,2,0,0,0,0.613,Medium,Low_Risk
CUST0652,21,Female,Single,Secondary,Employed,162,815198,17,2,0,0.97,0,1,0,0,0.613,Medium,Low_Risk
CUST2061,23,Male,Married,Secondary,Unemployed,177,542727,21,2,0,0.61,1,1,0,0,0.613,Medium,Low_Risk
CUST1833,27,Female,Single,Secondary,Self-employed,171,1090528,9,3,0,0.96,0,1,0,0,0.612,Medium,Low_Risk
CUST0323,33,Male,Single,,Employed,173,559971,21,4,0,0.99,0,0,0,0,0.611,High,Low_Risk
